ts_utc,run_id,agent,scope,action,status,summary,refs,commit_sha
2026-06-02T16:54:16Z,run-test-001,human,general,note,completed,test note,,
2026-06-02T16:54:16Z,run-test-002,human,general,commit,completed,feat(x): add thing,,pending
2026-06-02T16:54:16Z,run-20260602165416-573434,human,general,note,completed,no csv,,
2026-06-02T16:54:16Z,run-test-003,human,general,note,completed,"one, two, three",,
2026-06-02T17:36:10Z,run-20260602173610-645182,copilot,mcp,commit,completed,fix(mcp): remove hardcoded codegraph from MCP configs; add codegraph install prompt in scaffold.sh,,pending
2026-06-02T17:41:14Z,run-20260602174114-651655,copilot,mcp,commit,completed,fix(mcp): restore codegraph with correct serve --mcp args; workspace entry coexists with global install,,pending
2026-06-20T11:02:15Z,run-20260620110215-195366,human,mcp/codegraph,commit,completed,"fix(mcp/codegraph): add --path to .mcp.json, remove stale @0.8.0 pin, build index",,pending
2026-06-20T11:08:17Z,run-20260620110817-205935,human,scaffold/codegraph,commit,completed,"fix(scaffold): auto-run codegraph init in target, npx fallback, drop install prompt",,pending
2026-06-20T11:09:46Z,run-20260620110946-208241,human,scaffold/install,commit,completed,fix(scaffold): remove xops/init/ from target after install.sh scaffolds,,pending
2026-06-20T11:24:41Z,run-20260620112441-232685,human,scaffold/codegraph,commit,completed,"fix(scaffold): revert  from .mcp.json, remove scaffold.sh from doctor EXECUTABLE",,pending
2026-06-20T11:34:09Z,run-20260620113409-248842,human,scaffold/codegraph,commit,completed,fix(scaffold): bake absolute project path into .mcp.json at scaffold time,,pending
2026-06-20T11:45:33Z,run-20260620114533-267874,human,scaffold/codegraph,commit,completed,fix(scaffold): remove codegraph from .vscode/mcp.json in targets; VS Code reads both files creating duplicate inactive server,,pending
2026-06-21T12:44:50Z,run-20260621124450-162576,copilot,framework,commit,completed,"refactor(framework): bump to v1.0.0; migrate ai/ to docs/tracking/, chatmodes to custom-agents, prompt mode to agent",docs/tracking/;.github/agents/;.github/prompts/;xops/init/scaffold.sh;install.sh;README.md;.agentic-workspace-version,pending
2026-06-21T13:04:30Z,run-20260621130430-195729,copilot,skills,commit,completed,docs(skills): add codegraph-management skill; expand MCP_SETUP with index management + troubleshooting,.agents/skills/codegraph-management/SKILL.md;.agents/skills/README.md;.agents/skills/mcp-usage/SKILL.md;docs/guides/MCP_SETUP.md,pending
2026-06-23T16:34:39Z,run-20260623163439-762922,copilot,framework,commit,completed,feat(framework): drain all ROADMAP phases in /implement and hard-enforce Conventional Commits,.github/prompts/implement.prompt.md;.github/agents/implementer.agent.md;xops/agent/tracking_append.sh;xops/makefile/git_ops.py;xops/test/test_tracking_append.sh;xops/test/test_git_ops_cc.sh;docs/tracking/tracking.schema.md,pending
2026-06-23T16:48:30Z,run-20260623164830-806114,copilot,framework,commit,completed,feat(agents): enforce per-phase implementer→reviewer→verifier gate in /implement,.github/agents/verifier.agent.md;.github/prompts/verify.prompt.md;.github/prompts/implement.prompt.md;.github/agents/implementer.agent.md;.github/agents/reviewer.agent.md;.github/copilot-instructions.md;Makefile,pending
2026-07-11T13:47:11Z,run-20260711134711-77020,copilot,agent-framework,commit,completed,fix(agents): add always-on tracking gate instruction so agents reliably fill tracking.csv,.github/instructions/tracking.instructions.md;.vscode/settings.json;.github/copilot-instructions.md,pending
2026-08-23T11:35:46Z,run-20260823113546-220519,copilot,scaffold-codegraph,commit,completed,feat(tooling): add easy CodeGraph updates and trim scaffold outputs,Makefile;xops/makefile/codegraph.py;xops/init/scaffold.sh;xops/test/test_codegraph.sh;xops/test/test_scaffold_dryrun.sh,pending
2026-08-23T11:46:34Z,run-20260823114634-242001,copilot,repo-structure,commit,completed,chore(scaffold): remove excluded vendor artifacts from repository,.codex-plugin;.cursor;.opencode;gemini-extension.json;GEMINI.md;xops/makefile/doctor.py;xops/test/test_scaffold_dryrun.sh,pending
2026-08-23T11:47:07Z,run-20260823114707-247573,copilot,repo-structure,commit,completed,chore(scaffold): remove Claude plugin artifact from repository,.claude-plugin;xops/init/scaffold.sh;xops/test/test_scaffold_dryrun.sh,pending
2026-08-23T11:50:54Z,run-20260823115054-253971,copilot,make-surface,commit,completed,chore(framework): remove obsolete Make targets and dispatchers,Makefile;xops/makefile/doctor.py;xops/makefile/codegraph.py;xops/makefile/skills_ops.py;xops/README.md;README.md;docs/planning/ROADMAP.md;docs/tracking/context.md;.github;.vscode,pending
2026-08-23T11:53:08Z,run-20260823115308-264571,copilot,codegraph,commit,completed,feat(codegraph): restore codeg command and dispatcher,Makefile;xops/makefile/codegraph.py;xops/test/test_codegraph.sh;xops/README.md,pending
2026-08-23T11:58:02Z,run-20260823115802-272336,copilot,agent-docs,commit,completed,docs(agents): remove references to retired Make commands,.github;.agents/skills,pending
2026-08-24T15:33:10Z,run-20260824-avb-codegraph-mcp,copilot,codegraph,commit,completed,"fix(mcp): drop dead-duplicate codegraph entry from .vscode/mcp.json, clean up stale .cursor/mcp.json and scaffold.sh doc references",.vscode/mcp.json;.mcp.json;docs/guides/MCP_SETUP.md;.agents/skills/codegraph-management/SKILL.md;.agents/skills/mcp-usage/SKILL.md,pending
2026-08-24T15:55:53Z,run-20260824155553-435455,copilot,agent-config,commit,completed,"chore(agent-config): drop deprecated instruction settings, scope test rules to test files",.vscode/settings.json;.github/instructions/tests.instructions.md,pending
2026-08-24T16:02:24Z,run-20260824160224-443358,copilot,xops-test,commit,completed,fix(xops): render test summary counts instead of literal printf specifiers,xops/test/run_tests.sh;xops/test/test_log.sh;xops/test/test_codegraph.sh;xops/test/test_git_ops_cc.sh;xops/test/test_scaffold_dryrun.sh;xops/test/test_tracking_append.sh,pending
2026-08-24T16:08:12Z,run-20260824160812-451093,copilot,docs-cleanup,commit,completed,"docs(cleanup): remove references to removed vendor artifacts (gemini, codex, cursor, opencode, .cursor/, .codex-plugin/, .opencode/)",.github/copilot-instructions.md;AGENTS.md;docs/guides/AGENT_OPERATING_MODEL.md;docs/guides/MCP_SETUP.md;docs/tracking/tracking.schema.md;install.sh;xops/agent/tracking_append.sh;xops/init/scaffold.sh,pending
2026-08-24T16:09:53Z,run-20260824160953-452768,copilot,agent-config,commit,completed,fix(agents): replace invalid 'run' tool name with 'execute',.github/agents/implementer.agent.md;.github/agents/verifier.agent.md,pending
2026-08-24T16:12:35Z,run-20260824161235-455913,copilot,docs-cleanup,note,completed,fix(docs): correct incomplete MCP_SETUP.md sentence after vendor cleanup,,
2026-08-24T16:22:50Z,run-20260824162250-469587,copilot,agent-config,commit,completed,docs(agents): enforce CodeGraph-first for code questions,.github/instructions/codegraph.instructions.md;AGENTS.md;.github/copilot-instructions.md,pending
2026-08-24T16:28:56Z,run-20260824162856-475698,copilot,agent-config,commit,completed,"chore(agents): remove Aider config, docs and references",.aider.conf.yml;AGENTS.md;CONVENTIONS.md;README.md;docs/guides/MODEL_PROFILES.md;docs/tracking/tracking.schema.md;install.sh;xops/agent/tracking_append.sh;xops/init/scaffold.sh,pending
2026-09-09T12:51:27Z,run-20260909125127-436896,copilot,codex-scaffold,commit,completed,feat(scaffold): add native Codex agents skills and CodeGraph setup,install.sh;xops/init/scaffold.sh;xops/init/scaffold_codex.py;xops/agent/tracking_append.sh;xops/test/test_scaffold_codex.sh;README.md;CHANGELOG.md;docs/guides/CODEX_SETUP.md;docs/guides/MCP_SETUP.md;docs/guides/README.md;docs/tracking/tracking.schema.md;xops/README.md,pending
2026-09-09T13:00:37Z,run-20260909130037-462194,copilot,rename,commit,completed,chore(rename): rename repository and framework to agentic-workspace,.ai-vscode-basics-version;.agentic-workspace-version;install.sh;xops/init/scaffold.sh;README.md;.agents/skills/release-checklist/SKILL.md;copyrights/academic-research-skills.LICENSE;docs/tracking/tracking.csv;CHANGELOG.md,pending
2026-09-09T13:04:44Z,run-20260909130444-471747,copilot,rename,commit,completed,chore(rename): update git remote URL to agentic-workspace,.git/config,pending
2026-09-09T19:48:47Z,run-20260909194847-172264,copilot,tooling,commit,completed,fix(make): never create empty commits; one real commit per staging window,xops/makefile/git_ops.py;xops/makefile/test_git_ops.py;docs/tracking/tracking.schema.md;AGENTS.md;CHANGELOG.md,pending
2026-09-10T07:22:27Z,codex-compat-20260910-0722,codex,codex-compatibility,commit,completed,fix(agents): align scaffold skills and configuration with Codex,.agents/instructions/ROADMAP_DISCIPLINE.md;.agents/skills/README.md;.agents/skills/adr-writing/SKILL.md;.agents/skills/ai-output-stability/SKILL.md;.agents/skills/anti-ask-permission-loop/SKILL.md;.agents/skills/anti-blind-retry/SKILL.md;.agents/skills/anti-opportunistic-refactor/SKILL.md;.agents/skills/anti-prompt-injection-trust/SKILL.md;.agents/skills/anti-retry-until-green/SKILL.md;.agents/skills/anti-the-silent-skip/SKILL.md;.agents/skills/brainstorming/SKILL.md;.agents/skills/changelog-discipline/SKILL.md;.agents/skills/clarifying-questions/SKILL.md;.agents/skills/codegraph-management/SKILL.md;.agents/skills/cost-aware-tool-use/SKILL.md;.agents/skills/documentation-first/SKILL.md;.agents/skills/git-bisect-strategy/SKILL.md;.agents/skills/human-in-the-loop/SKILL.md;.agents/skills/incident-postmortem/SKILL.md;.agents/skills/mcp-usage/SKILL.md;.agents/skills/minimal-change/SKILL.md;.agents/skills/non-zero-exit-recovery/SKILL.md;.agents/skills/parallel-subagents/SKILL.md;.agents/skills/phase-persistence/SKILL.md;.agents/skills/prompt-injection-defense/SKILL.md;.agents/skills/refactor-discipline/SKILL.md;.agents/skills/safe-run-wrapper/SKILL.md;.agents/skills/security-by-default/SKILL.md;.agents/skills/self-review/SKILL.md;.agents/skills/session-recovery/SKILL.md;.agents/skills/systematic-debugging/SKILL.md;.agents/skills/tool-search-discipline/SKILL.md;.agents/skills/verification-before-completion/SKILL.md;.agents/skills/writing-plans/SKILL.md;.github/instructions/codegraph.instructions.md;.github/instructions/tracking.instructions.md;.github/prompts/implement.prompt.md;.github/prompts/review.prompt.md;AGENTS.md;CHANGELOG.md;docs/guides/CODEX_SETUP.md;xops/init/scaffold_codex.py;xops/test/test_scaffold_codex.sh;docs/tracking/tracking.csv,pending
